	Отрасль промышленности	Код ОКВЭД 2	Наименование кода ОКВЭД 2	Код ОКПД 2	Наименование продукции по коду ОКПД2
Департамент станкостроения и инвестиционного машиностроения	Системы накопления энергии	27.9	Производство прочего электрического оборудования (в части бесперебойных источников питания)	из 26.20.40.110	Оборудование электрическое прочее (в части бесперебойных источников питания)
Департамент станкостроения и инвестиционного машиностроения	Системы накопления энергии	27.9	Производство прочего электрического оборудования (в части твердотельных преобразователей, выпрямителей, топливных элементов, регулируемых и нерегулируемых источников электропитания, бесперебойных источников питания)	27.11.50.120	Преобразователи статические (в части твердотельных преобразователей, выпрямителей, топливных элементов, регулируемых и нерегулируемых источников электропитания, бесперебойных источников питания)
Департамент станкостроения и инвестиционного машиностроения	Электротехническая промышленность	27.90	Производство прочего электрического оборудования (в части электрических изоляторов (кроме стеклянных или фарфоровых))	27.90.12	"Изоляторы электрические; изолирующая арматура для электрических машин и оборудования; трубки для электропроводки"
Департамент станкостроения и инвестиционного машиностроения	Энергетическое машиностроение	28.11.2	Производство турбин	28.11.2	Турбины
Департамент станкостроения и инвестиционного машиностроения	Энергетическое машиностроение	28.11.2	Производство турбин	28.11.3	Части турбин
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	28.13	Производство прочих насосов и компрессоров	28.13.12	Насосы возвратно-поступательные объемного действия прочие для перекачки жидкостей
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	28.13	Производство прочих насосов и компрессоров	28.13.13	Насосы роторные объемные прочие для перекачки жидкостей
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	28.13	Производство прочих насосов и компрессоров	28.13.14	"Насосы центробежные подачи жидкостей прочие; насосы прочие"
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	28.13	Производство прочих насосов и компрессоров	28.13.2	"Насосы воздушные или вакуумные; воздушные или прочие газовые компрессоры"
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	28.13	Производство прочих насосов и компрессоров	28.13.3	Части насосов и компрессоров
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	28.14	Производство прочих кранов и клапанов	28.14.11	Арматура регулирующая, обратная, предохранительная, распределительносмесительная, разделительная, комбинированная, клапаны редукционные
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	28.14	Производство прочих кранов и клапанов	28.14.13	Арматура запорная для управления процессом (задвижки, краны, клапаны запорные, затворы дисковые и другая арматура)
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроение	28.14	Производство прочих кранов и клапанов	28.14.2	Детали и узлы арматуры (кранов, клапанов и прочей арматуры) (за исключением деталей и узлов для сантехнических изделий)
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21	Камеры, печи и печные горелки
