	Отрасль промышленности	Код ОКВЭД 2	Наименование кода ОКВЭД 2	Код ОКПД 2	Наименование продукции по коду ОКПД2
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.4	Производство грузовых автомобилей	29.10.42.123	Автосамосвалы с дизельным двигателем, имеющие технически допустимую максимальную массу свыше 12 т
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.4	Производство грузовых автомобилей	29.10.42.120	Автосамосвалы с бензиновым двигателем
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.4	Производство грузовых автомобилей	29.10.42.121	Автосамосвалы с бензиновым двигателем, имеющие технически допустимую максимальную массу не более 3,5 т
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.4	Производство грузовых автомобилей	29.10.42.122	Автосамосвалы с бензиновым двигателем, имеющие технически допустимую максимальную массу свыше 3,5 т, но не более 12 т
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.4	Производство грузовых автомобилей	29.10.42.123	Автосамосвалы с бензиновым двигателем, имеющие технически допустимую максимальную массу свыше 12 т
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.51.000	Автокраны
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.52.110	Средства транспортные снегоходные
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.52.130	Квадроциклы
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.111	Автоцементовозы
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.112	Автобитумовозы
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.113	Автобетоновозы
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.114	Автогудронаторы
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.115	Автозоловозы
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.116	Автобетононасосы
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.120	Автолесовозы
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.130	Средства транспортные для коммунального хозяйства и содержания дорог
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.140	Автомобили пожарные
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.141	Автомобили пожарные для тушения пожаров водой
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.142	Автомобили пожарные для тушения пожаров специальными огнегасительными средствами
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.143	Автомобили пожарные комбинированного тушения крупных пожаров
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.144	Автолестницы и автоподъемники пожарные
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.230	Средства транспортные для перевозки нефтепродуктов
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.240	Средства транспортные для перевозки пищевых жидкостей
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.280	Средства транспортные-фургоны для перевозки пищевых продуктов
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.310	Средства транспортные, оснащенные кранами-манипуляторами
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.320	Снегоочистители
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.321	Снегоочистители роторные
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.322	Снегоочистители плужные
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.323	Снегоочистители аэродромно-уборочные
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.10.5	Производство автомобилей специального назначения	29.10.59.329	Снегоочистители прочие
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.20.4	Производство прицепов и полуприцепов	29.20.22.000	Прицепы и полуприцепы типа фургонов для проживания или отдыха на природе
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	29.20.4	Производство прицепов и полуприцепов	29.20.23	Прицепы и полуприцепы прочие
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	30.91	Производство мотоциклов	30.91.1	Мотоциклы и мотоциклетные коляски
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	30.91	Производство мотоциклов	30.91.20	Части и принадлежности мотоциклов и мотоциклетных колясок
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	30.91	Производство мотоциклов	30.91.3	Двигатели внутреннего сгорания мотоциклетные
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	30.92.1	Производство велосипедов	30.92.1	Велосипеды двухколесные и прочие, без двигателя
Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения	Специализированное машиностроение	30.92.1	Производство велосипедов	30.92.30.110	Комплектующие (запасные части) двухколесных и прочих велосипедов без двигателя, не имеющие самостоятельных группировок
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10	Лесоматериалы, распиленные и строганые
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.1	"Лесоматериалы, продольно распиленные или расколотые, разделенные на слои или лущеные, толщиной более 6 мм; деревянные железнодорожные или трамвайные шпалы, непропитанные"
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10	"Лесоматериалы, продольно распиленные или расколотые, разделенные на слои или лущеные, толщиной более 6 мм; деревянные железнодорожные или трамвайные шпалы, непропитанные"
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.110	Пиломатериалы хвойных пород
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.111	Пиломатериалы из сосны
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.112	Пиломатериалы из ели
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.113	Пиломатериалы из лиственницы
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.114	Пиломатериалы из кедра
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.115	Пиломатериалы из пихты
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.119	Пиломатериалы из прочих хвойных пород
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.120	Пиломатериалы лиственных пород
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.121	Пиломатериалы из дуба
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.122	Пиломатериалы из бука
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.123	Пиломатериалы из ясеня
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.124	Пиломатериалы из березы
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.125	Пиломатериалы из осины
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.126	Пиломатериалы из тополя
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.127	Пиломатериалы из ольхи
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.128	Пиломатериалы из липы
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.129	Пиломатериалы из прочих лиственных пород
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.130	Шпалы деревянные для железных дорог непропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.131	Шпалы деревянные для железных дорог широкой колеи непропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.132	Шпалы деревянные для железных дорог узкой колеи непропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.140	Брусья деревянные для стрелочных переводов железных дорог непропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.141	Брусья деревянные для стрелочных переводов железных дорог широкой колеи непропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.142	Брусья деревянные для стрелочных переводов железных дорог узкой колеи непропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.143	Брусья переводные деревянные клееные для железных дорог широкой колеи непропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.150	Шпалы и брусья деревянные клееные для трамвайных путей непропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.10.160	Шпалы деревянные для метрополитена непропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.2	"Древесина, профилированная по любой из кромок или пластей; шерсть древесная; мука древесная; щепа или стружка древесная"
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21	Древесина, профилированная по любой из кромок или пластей (включая планки и фризы для паркетного покрытия пола несобранные, штапики и багеты)
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.110	Пиломатериалы хвойные профилированные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.111	Пиломатериалы профилированные из сосны
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.112	Пиломатериалы профилированные из ели
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.113	Пиломатериалы профилированные из лиственницы
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.114	Пиломатериалы профилированные из кедра
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.115	Пиломатериалы профилированные из пихты
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.119	Пиломатериалы профилированные из прочих лиственных пород
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.120	Пиломатериалы лиственные профилированные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.121	Пиломатериалы профилированные из дуба
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.122	Пиломатериалы профилированные из бука
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.123	Пиломатериалы профилированные из ясеня
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.124	Пиломатериалы профилированные из березы
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.125	Пиломатериалы профилированные из осины
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.126	Пиломатериалы профилированные из тополя
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.127	Пиломатериалы профилированные из ольхи
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.128	Пиломатериалы профилированные из липы
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.21.129	Пиломатериалы профилированные из прочих лиственных пород
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.22	"Шерсть древесная; мука древесная"
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.22.110	Шерсть древесная
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.22.120	Мука древесная
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.23	Щепа или стружка древесные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.23.110	Щепа древесная
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.23.111	Щепа технологическая
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.23.112	Щепа топливная
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.23.113	Щепа кровельная
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.23.120	Стружка древесная
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.3	"Лесоматериалы необработанные; шпалы деревянные железнодорожные и трамвайные пропитанные или обработанные другим способом"
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.31	Лесоматериалы необработанные, окрашенные, протравленные, обработанные креозотом или другими консервантами
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.31.110	Лесоматериалы хвойных пород необработанные, окрашенные, протравленные, обработанные креозотом или другими консервантами
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.31.120	Лесоматериалы лиственных пород необработанные, окрашенные, протравленные, обработанные креозотом или другими консервантами
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.32	Шпалы деревянные для железных дорог или трамвайных путей пропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.32.110	Шпалы деревянные для железных дорог пропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.32.111	Шпалы деревянные для железных дорог широкой колеи пропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.32.112	Шпалы деревянные для железных дорог узкой колеи пропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.32.120	Брусья деревянные для стрелочных переводов железных дорог пропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.32.121	Брусья деревянные для стрелочных переводов железных дорог широкой колеи пропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.32.122	Брусья деревянные для стрелочных переводов железных дорог узкой колеи пропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.32.123	Брусья переводные деревянные клееные для железных дорог широкой колеи пропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.32.130	Шпалы и брусья деревянные клееные для трамвайных путей пропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.32.140	Шпалы деревянные для метрополитена пропитанные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.39	Лесоматериалы необработанные прочие, включая расщепленные бревна и колья
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.39.000	Лесоматериалы необработанные прочие, включая расщепленные бревна и колья
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.9	"Услуги по сушке, пропитке или химической обработке древесины; отдельные операции процесса производства лесоматериалов, распиленных и строганных, выполняемые субподрядчиком"
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.91	Услуги по сушке, пропитке или химической обработке древесины
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.91.000	Услуги по сушке, пропитке или химической обработке древесины
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.99	Операции процесса производства распиленных и строганых лесоматериалов отдельные, выполняемые субподрядчиком
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.1	Распиловка и строгание древесины	16.10.99.000	Операции процесса производства распиленных и строганых лесоматериалов отдельные, выполняемые субподрядчиком
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.2	Производство изделий из дерева, пробки, соломки и материалов для плетения	16.2	Изделия из дерева, пробки, соломки и материалов для плетения
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.2	Производство изделий из дерева, пробки, соломки и материалов для плетения	16.21	Листы для облицовки и плиты многослойные
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.2	Производство изделий из дерева, пробки, соломки и материалов для плетения	16.21.1	"Фанера, панели деревянные фанерованные и аналогичные материалы слоистые из древесины; плиты древесно-стружечные и аналогичные плиты из древесины и других одревесневших материалов"
Департамент легкой промышленности и лесопромышленного комплекса	Лесопромышленный комплекс	16.2	Производство изделий из дерева, пробки, соломки и материалов для плетения	16.21.11	Фанера, панели деревянные фанерованные и аналогичные материалы слоистые из бамбука
