ОГРН предприятия;Код ОКПД2 продукции, включенной в реестр РЭП по ПП 878
1055003008191;27.31.11.000
1056162001950;27.51.13.110
1056162001950;27.51.24.190
1057746261605;26.30.11.110
1057746620535;27.90.70.000
1057746665228;26.30.11.110
1057747668582;26.51.20.129
1057748749959;26.20.14.000
1057748749959;26.30
1067746195395;26.30.11.120
1067746667878;26.20.40.190
1067759214236;26.60.12.132
1067847202895;26.51.53.150
1073668010283;26.30.11.120
1073914003228;27.40.39
1074720001916;26.30.50.150
1075904003670;26.51.20.121
1076450002562;26.51.53.110
1076450004751;27.51.21.190
1077103001095;26.20.40.110
1077154000660;26.30.11.190
1077760000735;26.30
1077760000735;26.40.32.190
1077761125628;27.33.13.110
1077847487398;26.70.21.120
1079847098649;26.51.43.120
1079847098649;26.51.70.190
1080719000713;26.60.11.113
1081327000260;27.31.12.110
1083339001492;32.30.15.210
1085024003679;26.20.11
1085024003679;26.20.15
1085024003679;26.20.2
1085024003679;26.20.21
1086320012888;27.40.33.130
1086658026608;26.51.51.110
1086658026608;26.51.82.140
1087017011113;26.30.11.150
1087746263384;26.30.11.150
1087746432047;26.12.30.000
1087746479765;26.30.11.120
1089847030701;26.30.11.150
1089847242209;26.51.53.120
1089848055417;26.30.50.121
1089848055417;26.30.60.190
1089848055417;26.51.53.110
1091690007441;27.40.39.113
1092124000616;26.11.22.120
1092311002442;26.51.43.112
1092311002442;26.51.43.116
1092311002442;26.51.45.190
1095543005140;26.20.15.000
1095543005140;26.20.2
1096025001907;27.12.10.110
1096382001418;26.51.53.110
1096382001418;26.51.53.160
1096382001418;26.51.66.190
1096382001418;26.60.12.124
1097746776643;26.20.13.000
1097746776643;28.99.39.190
1101327000532;27.32.13.110
1101327000532;"27.32.13.110;
27.32.14.110
"
1101327000532;27.32.13.120
1101327000532;27.32.14.110
1101327000532;27.32.14.111
1101327000532;27.32.14.120
1101690054696;27.40.39.113
1102137000074;27.11.50.120
1102632001185;26.51.6
1102635005384;26.20.15
1103926012266;26.11.22.216
1103926012266;26.20.22.000
1105404003407;26.30.30.000
1105658002670;26.12.30.000
1106672007738;32.50.21.112
1106672007738;32.50.21.121
1107746027487;26.30.11.150 
1107746732235;27.40.39
1107746880031;27.40.33.190
1107746880031;27.90.70.000
1107847065578;26.30.30.000
1107847252611;26.30.50.119
